"","period","emissions","AQI","type"
"1","2000-01",22.5441708587422,35.44,"NO2"
"2","2000-02",24.3460332793618,39.97,"NO2"
"3","2000-03",18.9606891592873,34.25,"NO2"
"4","2000-04",16.2936485828765,31.86,"NO2"
"5","2000-05",14.9751927894525,29.72,"NO2"
"6","2000-06",14.475492919075,28.84,"NO2"
"7","2000-07",14.4031190905705,28.84,"NO2"
"8","2000-08",15.6698542688321,31.2,"NO2"
"9","2000-09",15.5420734731909,29.05,"NO2"
"10","2000-10",20.6402052351009,35.38,"NO2"
"11","2000-11",21.8773490734595,35.07,"NO2"
"12","2000-12",23.065648685398,35.3,"NO2"
"13","2001-01",25.4372769243236,38.28,"NO2"
"14","2001-02",21.3026087911728,34.43,"NO2"
"15","2001-03",19.6996325674962,34.63,"NO2"
"16","2001-04",17.5256595652366,34.17,"NO2"
"17","2001-05",16.9840044030871,32.68,"NO2"
"18","2001-06",16.3162147470162,32,"NO2"
"19","2001-07",15.0692193717365,28.96,"NO2"
"20","2001-08",16.8144467929455,31.81,"NO2"
"21","2001-09",16.5189431810563,30.85,"NO2"
"22","2001-10",18.3222968152794,32.5,"NO2"
"23","2001-11",20.6078238570192,33.55,"NO2"
"24","2001-12",21.8167218485632,33.48,"NO2"
"25","2002-01",23.3271325116067,35.51,"NO2"
"26","2002-02",21.5615257100721,36.3,"NO2"
"27","2002-03",17.2468483742629,30.97,"NO2"
"28","2002-04",14.4071445693332,28.23,"NO2"
"29","2002-05",13.8933412131011,27.59,"NO2"
"30","2002-06",14.1217475310157,28.55,"NO2"
"31","2002-07",13.5379934205427,26.93,"NO2"
"32","2002-08",14.1186469377889,27.58,"NO2"
"33","2002-09",14.7636754153706,28.47,"NO2"
"34","2002-10",15.4866389466313,25.96,"NO2"
"35","2002-11",19.8486624920549,31.69,"NO2"
"36","2002-12",21.7083499447628,32.86,"NO2"
"37","2003-01",21.4922667413117,33.39,"NO2"
"38","2003-02",20.7912502420917,33.89,"NO2"
"39","2003-03",16.5525976243245,29.15,"NO2"
"40","2003-04",14.0271885884082,27.03,"NO2"
"41","2003-05",14.018651473859,26.84,"NO2"
"42","2003-06",13.8372117749068,27.51,"NO2"
"43","2003-07",13.351530447013,25.93,"NO2"
"44","2003-08",13.6828044134505,25.79,"NO2"
"45","2003-09",14.7960674281905,27.48,"NO2"
"46","2003-10",18.729751068296,32.46,"NO2"
"47","2003-11",19.2992094937681,31.28,"NO2"
"48","2003-12",20.9806705213578,33.09,"NO2"
"49","2004-01",20.2606004681246,31.63,"NO2"
"50","2004-02",21.458756398613,35.1,"NO2"
"51","2004-03",17.2198871653833,31.39,"NO2"
"52","2004-04",14.5019866827239,29.09,"NO2"
"53","2004-05",12.6490540530939,25.5,"NO2"
"54","2004-06",12.9667892410666,25.26,"NO2"
"55","2004-07",12.5990813279526,24.75,"NO2"
"56","2004-08",13.3839006984722,25.23,"NO2"
"57","2004-09",15.8612104222277,29.93,"NO2"
"58","2004-10",15.572811117204,27.01,"NO2"
"59","2004-11",17.802618427334,28.14,"NO2"
"60","2004-12",20.1300320251291,31.03,"NO2"
"61","2005-01",18.7674848428489,29.17,"NO2"
"62","2005-02",18.4394735515017,30.62,"NO2"
"63","2005-03",18.076194422207,33.12,"NO2"
"64","2005-04",15.7190456453555,32.11,"NO2"
"65","2005-05",13.7401541972291,27.81,"NO2"
"66","2005-06",12.9503538926545,26.16,"NO2"
"67","2005-07",12.2668492385797,24.39,"NO2"
"68","2005-08",14.0834210040439,27.04,"NO2"
"69","2005-09",15.3299360113361,29.84,"NO2"
"70","2005-10",15.7029580867367,27.62,"NO2"
"71","2005-11",18.3428601568578,30.34,"NO2"
"72","2005-12",22.2157961077947,33.37,"NO2"
"73","2006-01",18.1040812631508,29.77,"NO2"
"74","2006-02",18.5221488300662,31.92,"NO2"
"75","2006-03",14.6239661879803,27.43,"NO2"
"76","2006-04",13.2575246469379,27.96,"NO2"
"77","2006-05",12.7156063738768,26.26,"NO2"
"78","2006-06",12.5400836786212,25.8,"NO2"
"79","2006-07",11.5869384685581,22.9,"NO2"
"80","2006-08",11.5397254630638,23.13,"NO2"
"81","2006-09",12.5241681307908,24.14,"NO2"
"82","2006-10",14.3893181033747,26.4,"NO2"
"83","2006-11",18.6782222005166,31.01,"NO2"
"84","2006-12",18.8306031862522,29.77,"NO2"
"85","2007-01",16.0267424155391,26.87,"NO2"
"86","2007-02",17.2222539634822,29.04,"NO2"
"87","2007-03",14.9934350757524,28.93,"NO2"
"88","2007-04",11.557785963744,24.44,"NO2"
"89","2007-05",11.2067876793867,22.94,"NO2"
"90","2007-06",10.5764586665174,21.72,"NO2"
"91","2007-07",9.72763725901645,20.12,"NO2"
"92","2007-08",10.2933955179756,21.22,"NO2"
"93","2007-09",11.0414491682633,22.44,"NO2"
"94","2007-10",12.9811578230882,24.38,"NO2"
"95","2007-11",15.8208300329243,26.54,"NO2"
"96","2007-12",16.8338530467766,27.17,"NO2"
"97","2008-01",16.4488046523394,27.94,"NO2"
"98","2008-02",16.2526374482427,28.39,"NO2"
"99","2008-03",13.842501005114,26.93,"NO2"
"100","2008-04",11.3483728638661,24.35,"NO2"
"101","2008-05",9.80710592689918,21.82,"NO2"
"102","2008-06",9.21035632223456,19.76,"NO2"
"103","2008-07",8.91981462371955,18.98,"NO2"
"104","2008-08",9.02916032613288,19.12,"NO2"
"105","2008-09",10.3608410019099,21.02,"NO2"
"106","2008-10",12.5598103293218,23.87,"NO2"
"107","2008-11",13.7008842343877,23.94,"NO2"
"108","2008-12",13.6606554116859,23.41,"NO2"
"109","2009-01",15.9659173173546,27.79,"NO2"
"110","2009-02",13.4591080775359,25.43,"NO2"
"111","2009-03",11.7671709864643,23.5,"NO2"
"112","2009-04",10.1947071757377,22.01,"NO2"
"113","2009-05",8.35132667220144,17.79,"NO2"
"114","2009-06",7.85543276588612,16.64,"NO2"
"115","2009-07",7.60614360084621,16.21,"NO2"
"116","2009-08",8.20120860772276,17.2,"NO2"
"117","2009-09",9.1312013883732,18.44,"NO2"
"118","2009-10",9.93230979728243,18.52,"NO2"
"119","2009-11",13.0175095455593,22.82,"NO2"
"120","2009-12",13.7058089222583,23.04,"NO2"
"121","2010-01",14.4854088917393,24.65,"NO2"
"122","2010-02",13.8744297569778,25.35,"NO2"
"123","2010-03",12.1408932026785,25.07,"NO2"
"124","2010-04",9.86658069857053,22.13,"NO2"
"125","2010-05",8.28779760594518,18.07,"NO2"
"126","2010-06",7.97889588667618,16.72,"NO2"
"127","2010-07",7.82313786531397,16.66,"NO2"
"128","2010-08",8.67772191352484,18.26,"NO2"
"129","2010-09",9.75462126920162,20.23,"NO2"
"130","2010-10",11.6143809159252,23.23,"NO2"
"131","2010-11",12.7601301099126,23.28,"NO2"
"132","2010-12",14.6547320890365,24.48,"NO2"
"133","2011-01",16.6063816839935,27.61,"NO2"
"134","2011-02",14.6096264559137,27.29,"NO2"
"135","2011-03",11.3298853303806,23.49,"NO2"
"136","2011-04",9.02418982369929,20.43,"NO2"
"137","2011-05",8.5410028201974,18.5,"NO2"
"138","2011-06",8.52936049346241,18.14,"NO2"
"139","2011-07",8.225004165906,17.36,"NO2"
"140","2011-08",9.30977403942857,19.29,"NO2"
"141","2011-09",9.96875775408486,20.29,"NO2"
"142","2011-10",12.5810051752868,24,"NO2"
"143","2011-11",14.091188769199,24.98,"NO2"
"144","2011-12",16.0575725414748,26.2,"NO2"
"145","2012-01",14.5200361934859,25.1,"NO2"
"146","2012-02",13.6285061307209,25.13,"NO2"
"147","2012-03",10.952156678161,22.86,"NO2"
"148","2012-04",9.00120763907148,20.28,"NO2"
"149","2012-05",8.59023287028248,19.08,"NO2"
"150","2012-06",7.8758812856195,17.47,"NO2"
"151","2012-07",7.76736259188089,16.15,"NO2"
"152","2012-08",9.13150772444573,19.01,"NO2"
"153","2012-09",9.73258760571251,20.04,"NO2"
"154","2012-10",10.8255851607619,20.59,"NO2"
"155","2012-11",14.4063310480763,24.93,"NO2"
"156","2012-12",12.9281283147145,22.25,"NO2"
"157","2013-01",14.1409888901545,23.95,"NO2"
"158","2013-02",12.431381811448,23.41,"NO2"
"159","2013-03",10.3824445828805,21.79,"NO2"
"160","2013-04",8.35786262913291,18.82,"NO2"
"161","2013-05",7.59249989609033,16.56,"NO2"
"162","2013-06",7.00073563309323,15,"NO2"
"163","2013-07",7.06478525317809,14.37,"NO2"
"164","2013-08",8.44603584294335,17.09,"NO2"
"165","2013-09",8.82871131370663,18.33,"NO2"
"166","2013-10",10.8996882907947,20.65,"NO2"
"167","2013-11",11.7015982029679,21.1,"NO2"
"168","2013-12",15.0319243151671,24.42,"NO2"
"169","2014-01",14.0492214294584,25.02,"NO2"
"170","2014-02",13.9450832372192,25.77,"NO2"
"171","2014-03",11.1757263383498,23.12,"NO2"
"172","2014-04",8.49764869537859,19.6,"NO2"
"173","2014-05",7.68874580072863,17.41,"NO2"
"174","2014-06",6.71082142833171,14.67,"NO2"
"175","2014-07",6.4635798263052,13.84,"NO2"
"176","2014-08",7.35423450571837,15.65,"NO2"
"177","2014-09",8.54700156828307,18.09,"NO2"
"178","2014-10",9.94347766159785,19.53,"NO2"
"179","2014-11",11.6115270505385,21.16,"NO2"
"180","2014-12",11.9611174389548,19.86,"NO2"
"181","2015-01",13.586266740862,23.43,"NO2"
"182","2015-02",12.8501494185489,24.21,"NO2"
"183","2015-03",11.6475659389982,23.19,"NO2"
"184","2015-04",8.33977912881134,19.01,"NO2"
