"","State","Date.Local","no2","no2_aqi","o3","o3_aqi","so2","co","so2_aqi","co_aqi"
"1","Alaska","2015-01-06",35.513636,45,0.001588,3,18.8791665,1.4523215,41,19
"2","Alaska","2015-01-07",49.795833,83,0.001625,4,31.50625,1.5235415,72,24
"3","Alaska","2015-01-08",38.779167,54,0.003958,6,16.41118,1.0330075,30,17
"4","Alaska","2015-01-09",29.945455,39,0.005792,12,13.08125,1.007708,27,19
"5","Alaska","2015-01-10",25.2625,30,0.008625,14,10.5479165,0.6014585,20,16
"6","Alaska","2015-01-11",26.695833,29,0.0035,4,14.21118,0.803605,24,11
"7","Alaska","2015-01-12",22.172727,28,0.004042,7,9.9083335,0.677083,19,11
"8","Alaska","2015-01-13",26.131818,37,0.003583,7,10.6520835,0.701576,21,14
"9","Alaska","2015-01-14",28.977778,37,0.003778,7,9.930303,0.524348,23,11
"10","Alaska","2015-01-15",32,46,0.0035,19,11.41875,0.763125,23,14
"11","Alaska","2015-01-16",19.241667,39,0.007083,20,7.7166665,0.573542,19,10
"12","Alaska","2015-01-17",30.795833,47,0.003583,5,15.129193,0.5,33,6
"13","Alaska","2015-02-05",42.004348,66,0.003667,4,22.7173915,1.790625,46,22
"14","Alaska","2015-02-06",35.322727,47,0.003625,5,19.0854165,1.1133335,51,20
"15","Alaska","2015-02-07",37.770833,53,0.002833,4,25.99375,1.2408335,49,17
"16","Alaska","2015-02-08",29.408333,41,0.007667,11,18.479503,0.7083515,34,16
"17","Alaska","2015-02-09",33.781818,63,0.005583,6,15.0833335,0.8972915,36,16
"18","Alaska","2015-02-10",29.391667,42,0.0065,7,10.9395835,0.63625,23,13
"19","Alaska","2015-02-11",25.847826,38,0.012292,25,10.156061,0.6071425,33,10
"20","Alaska","2015-02-12",28.542857,42,0.006412,15,8.1166665,0.5789585,20,10
"21","Alaska","2015-02-13",28.0375,36,0.006833,11,12.8145835,0.82375,40,13
"22","Alaska","2015-02-14",28.825,38,0.006375,8,16.6813665,0.950453,40,16
"23","Alaska","2015-02-15",26.927273,30,0.00725,10,19.0770835,0.9116665,47,17
"24","Alaska","2015-02-16",34.458333,47,0.006167,9,17.5833335,0.95,39,14
"25","Alaska","2015-02-17",31.320833,46,0.003125,6,14.7481365,0.90875,27,15
"26","Alaska","2015-02-18",27.990909,38,0.005958,9,12.625,0.9375,30,15
"27","Alaska","2015-02-19",31.152174,43,0.004667,7,16.6791665,1.082708,37,17
"28","Alaska","2015-02-20",38.454167,66,0.005458,7,16.6518635,1.3449815,30,23
"29","Alaska","2015-02-21",34.154545,50,0.002708,5,17.7666665,1.1010415,31,20
"30","Alaska","2015-02-22",16.6,20,0.0015,2,9.7291665,0.715625,20,18
"31","Alaska","2015-02-23",10.5875,19,0.009042,15,8.1546585,0.4726315,23,7
"32","Alaska","2015-02-24",12.131818,24,0.012167,15,6.16875,0.2825,14,3
"33","Alaska","2015-02-25",16.1125,23,0.006792,10,7.3791665,0.335625,17,5
"34","Alaska","2015-02-26",20.027273,29,0.006542,13,9.3434785,0.4908515,20,8
"35","Alaska","2015-02-27",24.081818,33,0.005167,8,11.1916665,0.6966665,23,10
"36","Alaska","2015-02-28",13.3875,22,0.017875,31,8.28125,0.4075,23,10
"37","Alaska","2015-03-01",11.445833,26,0.016417,24,6.981056,0.36596,21,6
"38","Alaska","2015-03-02",30.154545,48,0.00775,14,11.6270835,0.6751515,29,9
"39","Alaska","2015-03-03",27.583333,35,0.007042,12,11.25625,0.47375,26,8
"40","Alaska","2015-03-04",21.195,34,0.009167,20,10.197205,0.4261955,20,6
"41","Alaska","2015-03-05",15.845,29,0.014583,26,9.46875,0.449792,24,8
"42","Alaska","2015-03-06",5.570833,12,0.025917,27,5.5520835,0.243542,11,3
"43","Alaska","2015-03-07",5.120833,10,0.026167,28,5.9673915,0.2656705,11,3
"44","Alaska","2015-03-08",3.104545,9,0.0195,22,5.0875,0.2052085,9,2
"45","Alaska","2015-03-09",10.716667,23,0.014375,21,7.8229165,0.2835415,23,5
"46","Alaska","2015-03-10",18.1625,25,0.007917,15,9.9537265,0.3954165,21,6
"47","Alaska","2015-03-11",20.715789,31,0.00675,14,10.8479165,0.505606,26,8
"48","Alaska","2015-03-12",19.595833,35,0.009,18,10.9875,0.5291665,36,8
"49","Alaska","2015-03-13",23.625,40,0.011667,19,2.167702,0.525797,10,7
"50","Alaska","2015-03-14",13.65,30,0.015208,24,1.9416665,0.3808335,3,7
"51","Alaska","2015-03-15",17.404167,33,0.013875,26,2.0333335,0.4247915,3,6
"52","Alaska","2015-03-16",27.2375,40,0.010292,18,2.1829195,0.573587,3,8
