"","Year","Source","NO2","SO2","CO"
"1",2007,"Stationary fuel combustion",5559.321066,10367.99755,4629.354249
"2",2008,"Stationary fuel combustion",5127.459366,9151.944476,4375.955363
"3",2009,"Stationary fuel combustion",4745.195588,7966.814863,4449.879808
"4",2010,"Stationary fuel combustion",4327.887419,6745.853884,4523.804254
"5",2011,"Stationary fuel combustion",3903.643088,5519.904398,4597.728699
"6",2012,"Stationary fuel combustion",3748.103691,5518.396351,4440.214568
"7",2013,"Stationary fuel combustion",3592.564295,5516.888304,4282.700438
"8",2014,"Stationary fuel combustion",3437.024899,4011.857138,4125.186307
"9",2015,"Stationary fuel combustion",3182.199197,3037.736486,4125.186307
"10",2007,"Industrial and other processes",1107.789703,867.4135182,3274.245806
"11",2008,"Industrial and other processes",1094.184364,792.250283,3117.120346
"12",2009,"Industrial and other processes",1150.813871,729.7603283,3105.598433
"13",2010,"Industrial and other processes",1207.443377,667.2703736,3094.07652
"14",2011,"Industrial and other processes",1264.072883,604.7804188,3082.554607
"15",2012,"Industrial and other processes",1309.647259,604.7133556,3512.580934
"16",2013,"Industrial and other processes",1355.221635,604.6462924,3942.60726
"17",2014,"Industrial and other processes",1400.796011,537.7172187,4372.633586
"18",2015,"Industrial and other processes",1400.796011,537.7172187,4372.633586
"19",2007,"Transportation",11167.46992,329.3724905,56108.45321
"20",2008,"Transportation",10426.20008,240.4849407,51040.70538
"21",2009,"Transportation",9597.672064,242.7731731,43357.62906
"22",2010,"Transportation",9016.590677,158.2837334,43595.64194
"23",2011,"Transportation",8951.724763,156.5992814,42304.34679
"24",2012,"Transportation",8457.41354,156.5470518,39928.64668
"25",2013,"Transportation",7963.102317,156.4948222,37552.94657
"26",2014,"Transportation",7468.791094,104.3696435,35177.24645
"27",2015,"Transportation",6742.530445,76.69174654,33008.2986
"28",2007,"Miscellaneous",264.6550478,134.5800203,19116.25549
"29",2008,"Miscellaneous",261.5153635,138.9781634,21121.30805
"30",2009,"Miscellaneous",278.0237398,149.8892939,21839.4174
"31",2010,"Miscellaneous",294.5321161,160.8004243,22557.52676
"32",2011,"Miscellaneous",399.4728345,197.5550684,23776.94397
"33",2012,"Miscellaneous",385.8654734,197.5316658,23184.04463
"34",2013,"Miscellaneous",372.2581123,197.5082632,22591.14529
"35",2014,"Miscellaneous",291.7174817,148.8979219,19623.53186
"36",2015,"Miscellaneous",291.7174817,148.8979219,19623.53186
