"","X.8","State","year","no2","no2_aqi","o3","o3_aqi","so2","co","so2_aqi","co_aqi","Lat","Long","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7"
"1",1,"Alabama",2015,9.07858020666667,20.0266666666667,0.0239999666666667,37.3433333333333,1.00942902,0.22102668,6.95,3.93333333333333,32.318231,-86.902298,"Alabama",NA,NA,NA,NA,NA,NA,""
"2",2,"Alaska",2015,11.1478254952381,18.6793650793651,0.0142007523809524,19.1365079365079,6.17324935555556,0.405371688888889,14.7936507936508,6.26984126984127,63.588753,-154.493062,"Alaska",NA,NA,NA,NA,NA,NA,""
"3",3,"Arizona",2015,13.109824156621,26.6018264840183,0.0274461844748858,43.9748858447489,0.592609360730594,0.364333573059361,1.68356164383562,6.18949771689498,34.048928,-111.093731,"Arizona",NA,NA,NA,NA,NA,NA,""
"4",4,"Arkansas",2015,8.61283287087912,19.4230769230769,0.0243349313186813,33.456043956044,1.11024649038462,0.306022557692308,2.36538461538462,4.25,35.20105,-91.831833,"Arkansas",NA,NA,NA,NA,NA,NA,""
"5",5,"California",2015,10.1732508272501,18.791708164426,0.0276687000288703,41.2813826179459,0.45668609973217,0.330427051862109,1.24229372059113,5.31225492304769,36.778261,-119.417932,"California",NA,NA,NA,NA,NA,NA,""
"6",6,"Colorado",2015,19.9573597334337,35.5072979075719,0.0246091839108836,38.5345265693211,1.02974553165688,0.388040060961915,4.94147222640373,6.51552511415525,39.550051,-105.782067,"Colorado",NA,NA,NA,NA,NA,NA,""
"7",7,"Connecticut",2015,8.30626463926941,16.1502283105023,0.0303797675799087,39.4305936073059,0.392308511187215,0.219148756392694,0.726027397260274,3.14931506849315,41.603221,-73.087749,"Connecticut",NA,NA,NA,NA,NA,NA,""
"8",8,"Delaware",2015,10.1081526036036,19.018018018018,0.0283448378378378,42.036036036036,0.750372891891892,0.301548315315315,2.36036036036036,4.27927927927928,38.910832,-75.52767,"Delaware",NA,NA,NA,NA,NA,NA,""
"9",9,"Florida",2015,4.10964224786325,9.61823361823362,0.0257075925925926,34.0826210826211,0.0350668219373219,0.514102397435897,0.464387464387464,6.46723646723647,27.664827,-81.515754,"Florida",NA,NA,NA,NA,NA,NA,""
"10",10,"Georgia",2015,9.67300324277457,20.9335260115607,0.0192264913294798,33.4768786127168,0.254999252890173,0.313777101156069,0.355491329479769,5.13005780346821,32.157435,-82.907123,"Georgia",NA,NA,NA,NA,NA,NA,""
"11",11,"Hawaii",2015,3.53335710773481,8.5828729281768,0.0234873701657459,26.5469613259669,1.05586350759669,0.386135195441989,3.04281767955801,4.73895027624309,19.898682,-155.665857,"Hawaii",NA,NA,NA,NA,NA,NA,""
"12",12,"Illinois",2015,8.52005113472222,18.2981481481481,0.0250365333333333,35.3175925925926,1.22222610185185,0.301317825,4.2,4.49814814814815,40.633125,-89.398528,"Illinois",NA,NA,NA,NA,NA,NA,""
"13",13,"Indiana",2015,13.4895421621622,23.5015015015015,0.0262168048048048,37.1141141141141,1.26234949099099,0.248748286786787,7.2042042042042,4.22590361445783,40.551217,-85.602364,"Indiana",NA,NA,NA,NA,NA,NA,""
"14",14,"Iowa",2015,6.45899371232877,13.6082191780822,0.0263935239726027,33.2890410958904,0.457230317123288,0.210234810958904,1.08767123287671,2.92876712328767,41.878003,-93.097702,"Iowa",NA,NA,NA,NA,NA,NA,""
"15",15,"Kansas",2015,11.0124622700297,22.8991097922849,0.0253893115727003,34.3916913946588,1.53727577002967,0.285717900593472,8.6053412462908,4.61077844311377,39.011902,-98.484246,"Kansas",NA,NA,NA,NA,NA,NA,""
"16",16,"Kentucky",2015,7.88423470618557,18.5257731958763,0.0236696855670103,39.9484536082474,0.551788193298969,0.270742961340206,2.35567010309278,4.2279792746114,37.839333,-84.270018,"Kentucky",NA,NA,NA,NA,NA,NA,""
