Year,Source,no2,co,so2
2000,FUEL_COMB_ELEC_UTIL,5330,484,11396
2001,FUEL_COMB_ELEC_UTIL,4917,485,10850
2002,FUEL_COMB_ELEC_UTIL,4709,657,10436
2003,FUEL_COMB_ELEC_UTIL,4340,653,10343
2004,FUEL_COMB_ELEC_UTIL,3969,648,10250
2005,FUEL_COMB_ELEC_UTIL,3792,643,10404
2006,FUEL_COMB_ELEC_UTIL,3588,673,9546
2007,FUEL_COMB_ELEC_UTIL,3383,703,8687
2008,FUEL_COMB_ELEC_UTIL,3144,728,7792
2009,FUEL_COMB_ELEC_UTIL,2818,747,6762
2010,FUEL_COMB_ELEC_UTIL,2458,766,5696
2011,FUEL_COMB_ELEC_UTIL,2090,784,4625
2012,FUEL_COMB_ELEC_UTIL,1965,762,4624
2013,FUEL_COMB_ELEC_UTIL,1839,739,4622
2014,FUEL_COMB_ELEC_UTIL,1714,717,3224
2015,FUEL_COMB_ELEC_UTIL,1459,717,2250
2016,FUEL_COMB_ELEC_UTIL,1053,717,1185
2000,FUEL_COMB_INDUSTRIAL,2723,1219,2139
2001,FUEL_COMB_INDUSTRIAL,2757,1253,2243
2002,FUEL_COMB_INDUSTRIAL,2041,1267,1786
2003,FUEL_COMB_INDUSTRIAL,1971,1231,1780
2004,FUEL_COMB_INDUSTRIAL,1897,1192,1763
2005,FUEL_COMB_INDUSTRIAL,1820,1152,1735
2006,FUEL_COMB_INDUSTRIAL,1681,1067,1514
2007,FUEL_COMB_INDUSTRIAL,1543,983,1293
2008,FUEL_COMB_INDUSTRIAL,1399,898,1069
2009,FUEL_COMB_INDUSTRIAL,1352,919,938
2010,FUEL_COMB_INDUSTRIAL,1305,940,807
2011,FUEL_COMB_INDUSTRIAL,1258,961,676
2012,FUEL_COMB_INDUSTRIAL,1235,960,676
2013,FUEL_COMB_INDUSTRIAL,1212,958,676
2014,FUEL_COMB_INDUSTRIAL,1189,957,657
2015,FUEL_COMB_INDUSTRIAL,1189,957,657
2016,FUEL_COMB_INDUSTRIAL,1189,957,657
2000,FUEL_COMB_OTHER,766,3081,628
2001,FUEL_COMB_OTHER,779,3088,642
2002,FUEL_COMB_OTHER,738,3550,579
2003,FUEL_COMB_OTHER,736,3478,581
2004,FUEL_COMB_OTHER,734,3405,582
2005,FUEL_COMB_OTHER,730,3331,582
2006,FUEL_COMB_OTHER,682,3137,485
2007,FUEL_COMB_OTHER,633,2943,388
2008,FUEL_COMB_OTHER,585,2749,291
