Year,Source,no2,co,so2
2000,Stationary fuel combustion,8818.936929,4783.994941,14162.92478
2001,Stationary fuel combustion,8453.612896,4825.473883,13735.14711
2002,Stationary fuel combustion,7488.10944,5473.779353,12800.98255
2003,Stationary fuel combustion,7047.41716,5360.921478,12703.9601
2004,Stationary fuel combustion,6600.477533,5244.135941,12594.6471
2005,Stationary fuel combustion,6342.519268,5125.118258,12720.96941
2006,Stationary fuel combustion,5950.920167,4877.236254,11544.48348
2007,Stationary fuel combustion,5559.321066,4629.354249,10367.99755
2008,Stationary fuel combustion,5127.459366,4375.955363,9151.944476
2009,Stationary fuel combustion,4745.195588,4449.879808,7966.814863
2010,Stationary fuel combustion,4327.887419,4523.804254,6745.853884
2011,Stationary fuel combustion,3903.643088,4597.728699,5519.904398
2012,Stationary fuel combustion,3748.103691,4440.214568,5518.396351
2013,Stationary fuel combustion,3592.564295,4282.700438,5516.888304
2014,Stationary fuel combustion,3437.024899,4125.186307,4011.857138
2015,Stationary fuel combustion,3182.199197,4125.186307,3037.736486
2000,Industrial and other processes,942.987766,4478.840823,1417.979834
2001,Industrial and other processes,980.68182,4608.591806,1464.424387
2002,Industrial and other processes,1059.160324,3830.414525,1084.866449
2003,Industrial and other processes,1086.798237,3750.497081,1062.469306
2004,Industrial and other processes,1109.431277,3669.112643,1039.982649
2005,Industrial and other processes,1128.850218,3585.710026,1017.086373
2006,Industrial and other processes,1118.31996,3429.977916,942.2499455
2007,Industrial and other processes,1107.789703,3274.245806,867.4135182
2008,Industrial and other processes,1094.184364,3117.120346,792.250283
2009,Industrial and other processes,1150.813871,3105.598433,729.7603283
2010,Industrial and other processes,1207.443377,3094.07652,667.2703736
2011,Industrial and other processes,1264.072883,3082.554607,604.7804188
2012,Industrial and other processes,1309.647259,3512.580934,604.7133556
2013,Industrial and other processes,1355.221635,3942.60726,604.6462924
2014,Industrial and other processes,1400.796011,4372.633586,537.7172187
2015,Industrial and other processes,1400.796011,4372.633586,537.7172187
2000,Transportation,12560.48811,92239.39993,696.554365
2001,Transportation,11930.21525,88152.69707,687.83118
2002,Transportation,15200.96887,74235.2327,1011.268312
2003,Transportation,14338.13984,71066.4588,901.4829499
2004,Transportation,13475.31081,67897.68491,791.6975883
2005,Transportation,12612.48178,64728.91101,681.9122267
2006,Transportation,11889.97585,60418.68211,505.6423586
2007,Transportation,11167.46992,56108.45321,329.3724905
2008,Transportation,10426.20008,51040.70538,240.4849407
2009,Transportation,9597.672064,43357.62906,242.7731731
2010,Transportation,9016.590677,43595.64194,158.2837334
2011,Transportation,8951.724763,42304.34679,156.5992814
2012,Transportation,8457.41354,39928.64668,156.5470518
2013,Transportation,7963.102317,37552.94657,156.4948222
2014,Transportation,7468.791094,35177.24645,104.3696435
2015,Transportation,6742.530445,33008.2986,76.69174654
2000,Miscellaneous,276.020776,12964.40357,69.539187
2001,Miscellaneous,184.000746,8675.570969,44.252963
2002,Miscellaneous,210.52187,18493.42115,134.9476647
2003,Miscellaneous,178.2210016,19414.82058,140.0316651
2004,Miscellaneous,145.9201332,20336.22001,145.1156655
2005,Miscellaneous,270.9131789,15106.15026,125.7804634
2006,Miscellaneous,267.7841133,17111.20287,130.1802418
2007,Miscellaneous,264.6550478,19116.25549,134.5800203
2008,Miscellaneous,261.5153635,21121.30805,138.9781634
2009,Miscellaneous,278.0237398,21839.4174,149.8892939
2010,Miscellaneous,294.5321161,22557.52676,160.8004243
2011,Miscellaneous,399.4728345,23776.94397,197.5550684
2012,Miscellaneous,385.8654734,23184.04463,197.5316658
2013,Miscellaneous,372.2581123,22591.14529,197.5082632
2014,Miscellaneous,291.7174817,19623.53186,148.8979219
2015,Miscellaneous,291.7174817,19623.53186,148.8979219
