"","Year","Source","NO2"
"1",2007,"Stationary fuel combustion",5559.321066
"2",2008,"Stationary fuel combustion",5127.459366
"3",2009,"Stationary fuel combustion",4745.195588
"4",2010,"Stationary fuel combustion",4327.887419
"5",2011,"Stationary fuel combustion",3903.643088
"6",2012,"Stationary fuel combustion",3748.103691
"7",2013,"Stationary fuel combustion",3592.564295
"8",2014,"Stationary fuel combustion",3437.024899
"9",2015,"Stationary fuel combustion",3182.199197
"10",2007,"Industrial and other processes",1107.789703
"11",2008,"Industrial and other processes",1094.184364
"12",2009,"Industrial and other processes",1150.813871
"13",2010,"Industrial and other processes",1207.443377
"14",2011,"Industrial and other processes",1264.072883
"15",2012,"Industrial and other processes",1309.647259
"16",2013,"Industrial and other processes",1355.221635
"17",2014,"Industrial and other processes",1400.796011
"18",2015,"Industrial and other processes",1400.796011
"19",2007,"Transportation",11167.46992
"20",2008,"Transportation",10426.20008
"21",2009,"Transportation",9597.672064
"22",2010,"Transportation",9016.590677
"23",2011,"Transportation",8951.724763
"24",2012,"Transportation",8457.41354
"25",2013,"Transportation",7963.102317
"26",2014,"Transportation",7468.791094
"27",2015,"Transportation",6742.530445
"28",2007,"Miscellaneous",264.6550478
"29",2008,"Miscellaneous",261.5153635
"30",2009,"Miscellaneous",278.0237398
"31",2010,"Miscellaneous",294.5321161
"32",2011,"Miscellaneous",399.4728345
"33",2012,"Miscellaneous",385.8654734
"34",2013,"Miscellaneous",372.2581123
"35",2014,"Miscellaneous",291.7174817
"36",2015,"Miscellaneous",291.7174817
